2 12 0.0002 18 0.0002 11 0.0002 
3 39 0.0003 25 0.0003 20 0.0003 
4 34 0.0296 59 0.0296 35 0.0296 
5 55 0.00675 29 0.00675 72 0.0135 
6 23 0.147 38 0.1616 174 0.1616 
7 38 0.0588 15 0.06125 397 0.0800333 
8 98 0.3708 33 0.419467 841 0.4358 
9 19 0.10125 38 0.10295 1788 0.2183 
10 52 3.20973 62 2.3454 1936 3.9012 
11 20 12.9104 32 11.0912 2967 15.4656 
12 16 1.0164 23 1.0631 
13 35 50.66 54 58.2956 
14 23 0.10976 21 0.08024 
15 26 2.015 15 1.51875 
16 33 63.7985 57 70.3356 
17 36 27.1355 44 64.9423 
18 55 3.615 37 3.1517 
19 13 0.0633333 22 0.0946 
20 20 2.6179 35 1.55 
21 40 234.633 28 218.452 
22 31 26.2727 28 34.6436 
23 32 5.26237 23 10.3298 
24 68 297.265 66 274.338 
25 74 24.7034 26 21.6663 
26 129 2873.03 111 2729.75 
27 66 671.584 37 357.555 
28 106 599.224 104 695.196 
29 34 58.0529 34 58.8882 
30 62 1277.29 69 1720.77 
31 34 702.043 32 789.893 
32 157 3042.13 132 2645.13 
33 22 126.001 42 159.706 
34 154 5478.02 90 4610.3 
35 46 465.9 31 367.368 
36 108 4210.79 108 4545.89 
37 142 824.124 74 582.584 
38 64 5172.65 116 4679.89 
39 213 6606.13 152 6364.59 
40 384 34044.8 69 22293.5 
41 276 31025 283 33122.2 
42 55 20131 321 33282.3 
43 66 5684.08 39 4472.74 
44 81 9304.22 128 8560.18 
45 344 35345.3 431 37770.4 
46 398 17339.6 550 17977.4 
47 639 124598 1010 134865 
48 86 1352.33 55 1381.31 
49 175 12352.1 301 13479.4 
50 405 61687.8 693 72847 
51 342 18495.9 154 17189.7 
52 285 52381.5 74 29685.9 
53 141 78709.7 548 90004.2 
54 78 4104.29 98 5682.76 
55 231 30552.8 174 21338.5 
56 176 164709 1671 293533 
57 368 143475 233 125485 
58 732 308079 3114 394347 
59 153 23916.7 472 27972.3 
60 161 45874 377 59718.1 
61 353 193561 697 224644 
62 942 410817 371 350703 
63 166 32838.5 234 39343 
64 456 17008.8 51 10309.3 
65 652 119046 901 131686 
66 957 469857 2032 537226 
67 123 14506.2 224 15898.3 
68 1416 232211 323 182266 
69 434 39784.7 461 43152 
70 3334 1.18455e+06 355 620543 
71 168 43489.2 250 47509.5 
72 63 625.415 91 383.337 
73 97 30986.3 138 39776.8 
74 112 2263.33 63 2219.95 
75 163 16641.5 79 13525.1 
76 4474 1.67241e+06 1015 1.21796e+06 
77 332 2857.53 46 1889.43 
78 502 36431.8 341 34726.1 
79 46 2328.4 301 3042.79 
80 49 182041 28 163461 
81 401 344260 586 361277 
82 124 424832 991 747107 
83 362 684450 1929 1.06447e+06 
84 842 641660 2063 835650 
85 1814 640075 742 642081 
86 439 75263.7 585 81399.7 
87 849 2.85209e+06 1232 3.17492e+06 
88 177 414.496 68 179.579 
89 775 1.82032e+06 2480 1.90415e+06 
90 2446 3.22061e+06 5521 3.87532e+06 
91 976 2.55083e+06 993 2.532e+06 
92 358 5315.66 110 4168.02 
93 104 4707.25 250 6900.95 
94 313 1.76888e+06 5490 4.30362e+06 
95 193 3836.59 93 2263.6 
96 2092 3.31854e+06 1023 2.47405e+06 
97 60 551.9 265 876.528 
98 2481 4.88464e+06 1030 3.69454e+06 
99 338 9354.64 124 5633.25 
100 1487 620594 3212 684345 
101 230 326200 2966 679699 
